name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
Afghanistan,AF,AFG,4,ISO 3166-2:AF,Asia,Southern Asia,,142,34,
Armenia,AM,ARM,51,ISO 3166-2:AM,Asia,Western Asia,,142,145,
Azerbaijan,AZ,AZE,31,ISO 3166-2:AZ,Asia,Western Asia,,142,145,
Bahrain,BH,BHR,48,ISO 3166-2:BH,Asia,Western Asia,,142,145,
Bangladesh,BD,BGD,50,ISO 3166-2:BD,Asia,Southern Asia,,142,34,
Bhutan,BT,BTN,64,ISO 3166-2:BT,Asia,Southern Asia,,142,34,
Brunei Darussalam,BN,BRN,96,ISO 3166-2:BN,Asia,South-eastern Asia,,142,35,
Cambodia,KH,KHM,116,ISO 3166-2:KH,Asia,South-eastern Asia,,142,35,
China,CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,,142,30,
Cyprus,CY,CYP,196,ISO 3166-2:CY,Asia,Western Asia,,142,145,
Georgia,GE,GEO,268,ISO 3166-2:GE,Asia,Western Asia,,142,145,
Hong Kong,HK,HKG,344,ISO 3166-2:HK,Asia,Eastern Asia,,142,30,
India,IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,,142,34,
Indonesia,ID,IDN,360,ISO 3166-2:ID,Asia,South-eastern Asia,,142,35,
Iran (Islamic Republic of),IR,IRN,364,ISO 3166-2:IR,Asia,Southern Asia,,142,34,
Iraq,IQ,IRQ,368,ISO 3166-2:IQ,Asia,Western Asia,,142,145,
Israel,IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,,142,145,
Japan,JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,,142,30,
Jordan,JO,JOR,400,ISO 3166-2:JO,Asia,Western Asia,,142,145,
Kazakhstan,KZ,KAZ,398,ISO 3166-2:KZ,Asia,Central Asia,,142,143,
Korea (Democratic People's Republic of),KP,PRK,408,ISO 3166-2:KP,Asia,Eastern Asia,,142,30,
Korea (Republic of),KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,,142,30,
Kuwait,KW,KWT,414,ISO 3166-2:KW,Asia,Western Asia,,142,145,
Kyrgyzstan,KG,KGZ,417,ISO 3166-2:KG,Asia,Central Asia,,142,143,
Lao People's Democratic Republic,LA,LAO,418,ISO 3166-2:LA,Asia,South-eastern Asia,,142,35,
Lebanon,LB,LBN,422,ISO 3166-2:LB,Asia,Western Asia,,142,145,
Macao,MO,MAC,446,ISO 3166-2:MO,Asia,Eastern Asia,,142,30,
Malaysia,MY,MYS,458,ISO 3166-2:MY,Asia,South-eastern Asia,,142,35,
Maldives,MV,MDV,462,ISO 3166-2:MV,Asia,Southern Asia,,142,34,
Mongolia,MN,MNG,496,ISO 3166-2:MN,Asia,Eastern Asia,,142,30,
Myanmar,MM,MMR,104,ISO 3166-2:MM,Asia,South-eastern Asia,,142,35,
Nepal,NP,NPL,524,ISO 3166-2:NP,Asia,Southern Asia,,142,34,
Oman,OM,OMN,512,ISO 3166-2:OM,Asia,Western Asia,,142,145,
Pakistan,PK,PAK,586,ISO 3166-2:PK,Asia,Southern Asia,,142,34,
"Palestine, State of",PS,PSE,275,ISO 3166-2:PS,Asia,Western Asia,,142,145,
Philippines,PH,PHL,608,ISO 3166-2:PH,Asia,South-eastern Asia,,142,35,
Qatar,QA,QAT,634,ISO 3166-2:QA,Asia,Western Asia,,142,145,
Saudi Arabia,SA,SAU,682,ISO 3166-2:SA,Asia,Western Asia,,142,145,
Singapore,SG,SGP,702,ISO 3166-2:SG,Asia,South-eastern Asia,,142,35,
Sri Lanka,LK,LKA,144,ISO 3166-2:LK,Asia,Southern Asia,,142,34,
Syrian Arab Republic,SY,SYR,760,ISO 3166-2:SY,Asia,Western Asia,,142,145,
"Taiwan, Province of China",TW,TWN,158,ISO 3166-2:TW,Asia,Eastern Asia,,142,30,
Tajikistan,TJ,TJK,762,ISO 3166-2:TJ,Asia,Central Asia,,142,143,
Thailand,TH,THA,764,ISO 3166-2:TH,Asia,South-eastern Asia,,142,35,
Timor-Leste,TL,TLS,626,ISO 3166-2:TL,Asia,South-eastern Asia,,142,35,
Turkey,TR,TUR,792,ISO 3166-2:TR,Asia,Western Asia,,142,145,
Turkmenistan,TM,TKM,795,ISO 3166-2:TM,Asia,Central Asia,,142,143,
United Arab Emirates,AE,ARE,784,ISO 3166-2:AE,Asia,Western Asia,,142,145,
Uzbekistan,UZ,UZB,860,ISO 3166-2:UZ,Asia,Central Asia,,142,143,
Viet Nam,VN,VNM,704,ISO 3166-2:VN,Asia,South-eastern Asia,,142,35,
Yemen,YE,YEM,887,ISO 3166-2:YE,Asia,Western Asia,,142,145,
