name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
American Samoa,AS,ASM,16,ISO 3166-2:AS,Oceania,Polynesia,,9,61,
Australia,AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9,53,
Christmas Island,CX,CXR,162,ISO 3166-2:CX,Oceania,Australia and New Zealand,,9,53,
Cocos (Keeling) Islands,CC,CCK,166,ISO 3166-2:CC,Oceania,Australia and New Zealand,,9,53,
Cook Islands,CK,COK,184,ISO 3166-2:CK,Oceania,Polynesia,,9,61,
Fiji,FJ,FJI,242,ISO 3166-2:FJ,Oceania,Melanesia,,9,54,
French Polynesia,PF,PYF,258,ISO 3166-2:PF,Oceania,Polynesia,,9,61,
Guam,GU,GUM,316,ISO 3166-2:GU,Oceania,Micronesia,,9,57,
Heard Island and McDonald Islands,HM,HMD,334,ISO 3166-2:HM,Oceania,Australia and New Zealand,,9,53,
Kiribati,KI,KIR,296,ISO 3166-2:KI,Oceania,Micronesia,,9,57,
Marshall Islands,MH,MHL,584,ISO 3166-2:MH,Oceania,Micronesia,,9,57,
Micronesia (Federated States of),FM,FSM,583,ISO 3166-2:FM,Oceania,Micronesia,,9,57,
Nauru,NR,NRU,520,ISO 3166-2:NR,Oceania,Micronesia,,9,57,
New Caledonia,NC,NCL,540,ISO 3166-2:NC,Oceania,Melanesia,,9,54,
New Zealand,NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,,9,53,
Niue,NU,NIU,570,ISO 3166-2:NU,Oceania,Polynesia,,9,61,
Norfolk Island,NF,NFK,574,ISO 3166-2:NF,Oceania,Australia and New Zealand,,9,53,
Northern Mariana Islands,MP,MNP,580,ISO 3166-2:MP,Oceania,Micronesia,,9,57,
Palau,PW,PLW,585,ISO 3166-2:PW,Oceania,Micronesia,,9,57,
Papua New Guinea,PG,PNG,598,ISO 3166-2:PG,Oceania,Melanesia,,9,54,
Pitcairn,PN,PCN,612,ISO 3166-2:PN,Oceania,Polynesia,,9,61,
Samoa,WS,WSM,882,ISO 3166-2:WS,Oceania,Polynesia,,9,61,
Solomon Islands,SB,SLB,90,ISO 3166-2:SB,Oceania,Melanesia,,9,54,
Tokelau,TK,TKL,772,ISO 3166-2:TK,Oceania,Polynesia,,9,61,
Tonga,TO,TON,776,ISO 3166-2:TO,Oceania,Polynesia,,9,61,
Tuvalu,TV,TUV,798,ISO 3166-2:TV,Oceania,Polynesia,,9,61,
United States Minor Outlying Islands,UM,UMI,581,ISO 3166-2:UM,Oceania,Micronesia,,9,57,
Vanuatu,VU,VUT,548,ISO 3166-2:VU,Oceania,Melanesia,,9,54,
Wallis and Futuna,WF,WLF,876,ISO 3166-2:WF,Oceania,Polynesia,,9,61,
